,0
2018-01-02,-0.00185
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,-0.0151790061281341
2018-02-02,-0.00719108222333633
2018-02-05,-0.01548394286503256
2018-02-06,0.0227740817350668
2018-02-07,-0.0055742444974257
2018-02-08,-0.01497218962557878
2018-02-09,0.0199470823449237
2018-02-12,0.015923618568483
2018-02-13,0.0005712883129509
2018-02-14,0.0175697976454988
2018-02-15,0.0113041515156848
2018-02-16,-0.0008029211846728
2018-02-20,-0.0010267627589988
2018-02-21,-0.00464725451898587
2018-02-22,-0.00098067475955192
2018-02-23,0.0166918411135659
2018-02-26,0.0146041294359542
2018-02-27,-0.0107336601249261
2018-02-28,-0.00649980679983209
2018-03-01,-0.00597562557787133
2018-03-02,0.0013255740419331097
2018-03-05,0.0069463247089311
2018-03-06,0.0007616097972157
2018-03-07,0.001881455299387
2018-03-08,-0.0013351914027089301
2018-03-09,0.0183510459601025
2018-03-12,0.0010035534193781
2018-03-13,-0.00508555695088739
2018-03-14,-0.00353026655152478
2018-03-15,-0.0024155374408762103
2018-03-16,-0.00236229581440682
2018-03-19,-0.0074745801567003495
2018-03-20,-0.00082522559823728
2018-03-21,0.0036774268105471
2018-03-22,-0.011448775639762852
2018-03-23,-0.00871520794154786
2018-03-26,0.006352189666512429
2018-03-27,-0.0255274940019074
2018-03-28,-0.0054923455434220695
2018-03-29,0.00288445447436731
2018-04-02,-0.0313555391064707
2018-04-03,0.0025206788003848896
2018-04-04,0.015363083121944
2018-04-05,0.0109925462048376
2018-04-06,-0.0238741889506494
2018-04-09,-0.00266565362850854
2018-04-10,0.0278803522026469
2018-04-11,-0.0055835820822719
2018-04-12,0.00045625308750693984
2018-04-13,-0.0011044679205364
2018-04-16,-0.00268365463382447
2018-04-17,0.0154390856025059
2018-04-18,0.005566331857498
2018-04-19,-0.0100033767065878
2018-04-20,-0.004279310083777729
2018-04-23,-0.00362308163452496
2018-04-24,-0.00637864149897506
2018-04-25,-0.00317157717119762
2018-04-26,0.0212837773480362
2018-04-27,0.0055769862627486
2018-04-30,-0.0072077451763017
2018-05-01,0.00145576051805548
2018-05-02,-0.0078068838368078
2018-05-03,-0.0016460573733283702
2018-05-04,0.0035783929179208293
2018-05-07,0.0107205563249824
2018-05-08,0.0042081992278379
2018-05-09,0.0025131704017740996
2018-05-10,0.0118138905618723
2018-05-11,-0.0020160814249834
2018-05-14,0.0026400913387516
2018-05-15,-0.0078026175509892
2018-05-16,0.00065364044780833
2018-05-17,-0.0057726722061071
2018-05-18,-0.00361934148299477
2018-05-21,0.00142274526638377
2018-05-22,-0.0013612976109333
2018-05-23,-0.00109506216062942
2018-05-24,0.0035933259835522
2018-05-25,-0.00266115125507903
2018-05-29,-0.00453527483485577
2018-05-30,0.00222012759421141
2018-05-31,-0.0147685573592407
2018-06-01,0.0031706251825508805
2018-06-04,0.0019528124932889
2018-06-05,0.0004025690315926
2018-06-06,0.0157036443173414
2018-06-07,-0.0046264749852128
2018-06-08,-0.0006730874520329601
2018-06-11,0.0034881100013958
2018-06-12,0.0018188608067336
2018-06-13,-0.0030346779479709
2018-06-14,-0.0018636245391803832
2018-06-15,-0.004454071082495
2018-06-18,-0.00196439375913911
2018-06-19,-0.00437443690454684
2018-06-20,0.00010765064793672981
2018-06-21,-0.0132420377485647
2018-06-22,-0.00207700524249122
2018-06-25,-0.0166761991449495
2018-06-26,3.3526977717697037e-06
2018-06-27,-0.0082131356431205
2018-06-28,0.0007494749015228498
2018-06-29,0.0083441087245873
2018-07-02,0.0017569476655541
2018-07-03,-0.0074902255399282
2018-07-05,0.00064159699591009
2018-07-06,0.0139751125737615
2018-07-09,0.0139711375857222
2018-07-10,0.0036564251686458
2018-07-11,-0.0132406618548839
2018-07-12,0.00222393291435856
2018-07-13,-0.0021801645678211
2018-07-16,-0.0010930781068828
2018-07-17,-0.0002634326006404101
2018-07-18,0.0040214582147747
2018-07-19,-0.0062284712582887
2018-07-20,-0.00377806031602565
2018-07-23,-0.00340478137483193
2018-07-24,0.0029509285843269
2018-07-25,0.0071354437062271
2018-07-26,0.0132101967259112
2018-07-27,-0.0039535517060653395
2018-07-30,-0.0035022314307325397
2018-07-31,0.0014997724819658799
2018-08-01,-0.0074064138536489
2018-08-02,0.00251231138297452
2018-08-03,0.0018883125984491
2018-08-06,0.0064976936590593
2018-08-07,0.0112359774202077
2018-08-08,-0.003521165254673
2018-08-09,-0.0041557190200381105
2018-08-10,-0.00396446866558847
2018-08-13,-0.00233587923397868
2018-08-14,-0.0016326638950495702
2018-08-15,-0.0134835705697717
2018-08-16,-0.0007068545796547702
2018-08-17,-0.0075189847667482
2018-08-20,0.0056610750881556
2018-08-21,0.0130291894684783
2018-08-22,0.0016149809973791
2018-08-23,-0.00203816988987956
2018-08-24,0.0025189024421594193
2018-08-27,0.0130738837128631
2018-08-28,0.001037174500634
2018-08-29,0.0030943049482354
2018-08-30,-0.005584036289595
2018-08-31,-0.00122605635657845
2018-09-04,-0.0014413897993959
2018-09-05,-0.00386229105954875
2018-09-06,-0.00585636302011181
2018-09-07,-0.00200927748652868
2018-09-10,0.0029702787787396594
2018-09-11,-0.0043738073673814
2018-09-12,0.0056587866618251
2018-09-13,0.0088718564142967
2018-09-14,0.00764791472121
2018-09-17,-0.0084535277505268
2018-09-18,0.00021204768168499007
2018-09-19,0.0022295386273501
2018-09-20,0.0068738692944745
2018-09-21,-0.0020801469445089
2018-09-24,-0.00139494269008247
2018-09-25,-0.0028092772115776102
2018-09-26,-0.00220529825059901
2018-09-27,-0.00048299075710712025
2018-09-28,-0.0090281391255732
2018-10-01,0.0174422748032957
2018-10-02,-0.0051601684458247
2018-10-03,-0.0020966737265189902
2018-10-04,-0.0100735153367087
2018-10-05,-0.0044756537974743205
2018-10-08,-0.0035216550786854603
2018-10-09,-5.170873385252034e-05
2018-10-10,-0.01434193148415245
2018-10-11,-0.015678517625781
